"MAPPINGID","SOURCE_SYSTEM","TARGET_SYSTEM","ATTRIBUTE","KEY","VALUE","DESCRIPTION"
"24665","GSSP","MAJESCO","Groupstatus_Code","PreSubmitted","103","Portal_Status"
"24666","GSSP","MAJESCO","Groupstatus_Code","Terminated","101","Portal_Status"
"24667","GSSP","MAJESCO","Groupstatus_Code","Withdrawn","101","Portal_Status"
"24668","GSSP","MAJESCO","Groupstatus_Code","Completed","100","Portal_Status"
"24669","GSSP","MAJESCO","GroupSetup_Status","Issued","100","Portal_Status"
"24670","GSSP","MAJESCO","GroupSetup_Status","Lapsed","101","Portal_Status"
"24671","GSSP","MAJESCO","GroupSetup_Status","NotTakenUp","101","Portal_Status"
"24672","GSSP","MAJESCO","GroupSetup_Status","Pending","102","Portal_Status"
"24673","GSSP","MAJESCO","GroupSetup_Status","PendingBillDefn","103","Portal_Status"
"24674","GSSP","MAJESCO","GroupSetup_Status","PendingClassApproval","103","Portal_Status"
"24675","GSSP","MAJESCO","GroupSetup_Status","PendingEnroll","103","Portal_Status"
"24676","GSSP","MAJESCO","GroupSetup_Status","PendingEnrollDef","103","Portal_Status"
"24677","GSSP","MAJESCO","GroupSetup_Status","PendingImpl","103","Portal_Status"
"24678","GSSP","MAJESCO","GroupSetup_Status","PENDINGISSUE","103","Portal_Status"
"24679","GSSP","MAJESCO","GroupSetup_Status","PendingPrem","103","Portal_Status"
"24680","GSSP","MAJESCO","GroupSetup_Status","PendingRenewal","103","Portal_Status"
"24681","GSSP","MAJESCO","GroupSetup_Status","PreSubmitted","103","Portal_Status"
"24682","GSSP","MAJESCO","GroupSetup_Status","Terminated","101","Portal_Status"
"24683","PAS","ETL","CountryName","218","Libya","NULL"
"24684","GSSP","MAJESCO","GroupSetup_Status","Withdrawn","101","Portal_Status"
"24685","GSSP","MAJESCO","GroupSetup_Status","Completed","100","Portal_Status"
"24686","PAS","GSSP","RFPGroupStatus","Issued","101","NULL"
"24687","PAS","GSSP","RFPGroupStatus","Terminated","102","NULL"
"24688","PAS","GSSP","RFPGroupStatus","Lapsed","103","NULL"
"24689","PAS","GSSP","RFPGroupStatus","Pending","104","NULL"
"24690","PAS","GSSP","RFPGroupStatus","PendingBillDefn","105","NULL"
"24691","PAS","GSSP","RFPGroupStatus","PendingClassApproval","106","NULL"
"24692","PAS","GSSP","RFPGroupStatus","PendingEnroll","107","NULL"
"24693","GSSP","MAJESCO","ProductName","Long Term Disability","LTD","Retrieving ProductName based on productcode"
"24694","GSSP","MAJESCO","ProductName","Hospital Indemnity","HI","Retrieving ProductName based on productcode"
"24695","GSSP","MAJESCO","ProductName","Dental DHMO","DHMO","Retrieving ProductName based on productcode"
"24696","GSSP","MAJESCO","ProductName","Dental PPO","DPPO","Retrieving ProductName based on productcode"
"24697","GSSP","MAJESCO","ProductName","Basic Life / AD&D","BSCL","Retrieving ProductName based on productcode"
"24698","MAJESCO","ICOMP","BrokerScale","210","Regular Scale",
"24699","GSSP","MAJESCO","ProductName","Supplemental Life / AD&D","OPTL","Retrieving ProductName based on productcode"
"24700","GSSP","MAJESCO","ProductName","Accident","ACC","Retrieving ProductName based on productcode"
"24701","GSSP","MAJESCO","ProductName","Critical Illness","CIAA","Retrieving ProductName based on productcode"
"24702","GSSP","MAJESCO","ProductName","Vision","VIS","Retrieving ProductName based on productcode"
"24703","GSSP","MAJESCO","ProductName","Short Term Disability","STD","Retrieving ProductName based on productcode"
"24704","GSSP","MAJESCO","ProductName","Legal Services","LGL","Retrieving ProductName based on productcode"
"24705","MAJESCO","CLASIC","State","5","AR","Arkansas"
"24706","MAJESCO","CLASIC","State","6","CA","California"
"24707","MAJESCO","CLASIC","State","7","CO","Colorado"
"24708","PAS","GSSP","relationShipToMember","Majesco","GSSP","relationShipToMember"
"24709","PAS","GSSP","relationShipToMember","Spouse","101","relationShipToMember"
"24710","PAS","GSSP","relationShipToMember","Child","102","relationShipToMember"
"24711","MAJESCO","CLASIC","State","1","AL","Alabama"
"24712","PAS","GSSP","RFPGroupStatus","PendingEnrollDef","108","NULL"
"24713","PAS","GSSP","RFPGroupStatus","PendingImpl","109","NULL"
"24714","PAS","GSSP","RFPGroupStatus","PendingPrem","110","NULL"
"24715","PAS","ETL","CountryName","423","Liechtenstein","NULL"
"24716","PAS","ETL","CountryName","370","Lithuania","NULL"
"24717","PAS","ETL","CountryName","352","Luxembourg","NULL"
"24718","PAS","GSSP","MemberrelationShip","Majesco","GSSP","MemberrelationShip"
"24719","PAS","GSSP","MemberrelationShip","Self","EMPLOYEE","MemberrelationShip"
"24720","PAS","GSSP","MemberrelationShip","Spouse","DEPENDENT","MemberrelationShip"
"24721","PAS","GSSP","MemberrelationShip","Child","DEPENDENT","MemberrelationShip"
"24722","PAS","GSSP","contactCategory","core ","GSSP","contactCategory"
"24723","PAS","GSSP","contactCategory","AlternatePhone","OTHER","contactCategory"
"24724","PAS","GSSP","contactCategory","BusinessPhone","OTHER","contactCategory"
"24725","PAS","GSSP","contactCategory","CellPhone","MOBILE","contactCategory"
"24726","PAS","GSSP","contactCategory","HomePhone","HOME","contactCategory"
"24727","PAS","GSSP","contactCategory","Phone","OTHER","contactCategory"
"24728","PAS","GSSP","contactCategory","PrimaryPhone","OTHER","contactCategory"
"24729","MAJESCO","CLASIC","State","2","AK","Alaska"
"24730","PAS","GSSP","contactCategory","BusinessEmail","WORK","contactCategory"
"24731","PAS","GSSP","contactCategory","PersonalEmail","OTHER","contactCategory"
"24732","MAJESCO","CLASIC","State","4","AZ","Arizona"
"24733","MAJESCO","CLASIC","State","8","CT","Connecticut"
"24734","MAJESCO","CLASIC","State","9","DE","Delaware"
"24735","MAJESCO","CLASIC","State","10","DC","District of Columbia"
"24736","MAJESCO","CLASIC","State","12","FL","Florida"
"24737","MAJESCO","CLASIC","State","25","MD","Maryland"
"24738","MAJESCO","CLASIC","State","26","MA","Massachusetts"
"24739","MAJESCO","CLASIC","State","27","MI","Michigan"
"24740","MAJESCO","CLASIC","State","28","MN","Minnesota"
"24741","MAJESCO","CLASIC","State","29","MS","Mississippi"
"24742","MAJESCO","CLASIC","State","30","MO","Missouri"
"24743","MAJESCO","CLASIC","State","31","MT","Montana"
"24744","MAJESCO","CLASIC","State","32","NE","Nebraska"
"24745","MAJESCO","CLASIC","State","33","NV","Nevada"
"24746","MAJESCO","CLASIC","State","34","NH","New Hampshire"
"24747","MAJESCO","CLASIC","State","35","NJ","New Jersey"
"24748","MAJESCO","CLASIC","State","36","NM","New Mexico"
"24749","MAJESCO","CLASIC","State","37","NY","New York"
"24750","MAJESCO","CLASIC","State","38","NC","North Carolina"
"24751","MAJESCO","CLASIC","State","39","ND","North Dakota"
"24752","MAJESCO","CLASIC","State","41","OH","Ohio"
"24753","MAJESCO","CLASIC","State","42","OK","Oklahoma"
"24754","MAJESCO","CLASIC","State","43","OR","Oregon"
"24755","MAJESCO","CLASIC","State","45","PA","Pennsylvania"
"24769","MAJESCO","CLASIC","SalesOff_FIN_RSPN","75","75","Atlanta"
"24770","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","75","030","Atlanta"
"24771","MAJESCO","CLASIC","SalesOff_FIN_RSPN","76","76","Boston"
"24772","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","76","032","Boston"
"24773","MAJESCO","CLASIC","SalesOff_FIN_RSPN","77","77","Charlotte"
"24774","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","77","033","Charlotte"
"24775","MAJESCO","CLASIC","SalesOff_FIN_RSPN","78","78","Chicago"
"24776","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","78","038","Chicago"
"24777","MAJESCO","CLASIC","SalesOff_FIN_RSPN","87","87","Cincinatti"
"24778","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","87","039","Cincinatti"
"24779","MAJESCO","CLASIC","SalesOff_FIN_RSPN","47","47","Cleveland"
"24780","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","47","03B","Cleveland"
"24781","MAJESCO","CLASIC","SalesOff_FIN_RSPN","43","43","Dallas"
"24782","MAJESCO","CLASIC","State","13","GA","Georgia"
"24783","MAJESCO","CLASIC","State","15","HI","Hawaii"
"24784","MAJESCO","CLASIC","State","16","ID","Idaho"
"24785","MAJESCO","CLASIC","State","17","IL","Illinois"
"24786","MAJESCO","CLASIC","State","18","IN","Indiana"
"24787","MAJESCO","CLASIC","State","19","IA","Iowa"
"24788","MAJESCO","CLASIC","State","20","KS","Kansas"
"24789","MAJESCO","CLASIC","State","21","KY","Kentucky"
"24790","MAJESCO","CLASIC","State","22","LA","Louisiana"
"24791","MAJESCO","CLASIC","State","23","ME","Maine"
"24792","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","43","03C","Dallas"
"24793","MAJESCO","CLASIC","SalesOff_FIN_RSPN","48","48","Denver"
"24794","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","48","03D","Denver"
"24795","MAJESCO","CLASIC","SalesOff_FIN_RSPN","79","79","Detroit"
"24796","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","79","03E","Detroit"
"24797","MAJESCO","CLASIC","SalesOff_FIN_RSPN","88","88","Houston"
"24798","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","88","03F","Houston"
"24799","MAJESCO","CLASIC","SalesOff_FIN_RSPN","80","80","Kansas City"
"24800","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","80","03G","Kansas City"
"24801","MAJESCO","CLASIC","SalesOff_FIN_RSPN","42","42","Los Angeles"
"24802","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","42","03H","Los Angeles"
"24803","MAJESCO","CLASIC","SalesOff_FIN_RSPN","20","20","Miami"
"24804","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","20","03I","Miami"
"24805","MAJESCO","CLASIC","SalesOff_FIN_RSPN","37","37","Milwaukee"
"24806","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","37","03J","Milwaukee"
"24807","MAJESCO","CLASIC","SalesOff_FIN_RSPN","74","74","Minneapolis"
"24756","MAJESCO","CLASIC","State","46","PR","Puerto Rico"
"24757","MAJESCO","CLASIC","State","47","RI","Rhode Island "
"24758","MAJESCO","CLASIC","State","48","SC","South Carolina"
"24759","MAJESCO","CLASIC","State","49","SD","South Dakota"
"24760","MAJESCO","CLASIC","State","50","TN","Tennessee"
"24761","MAJESCO","CLASIC","State","51","TX","Texas"
"24762","MAJESCO","CLASIC","State","52","UT","Utah"
"24763","MAJESCO","CLASIC","State","53","VT","Vermont"
"24764","MAJESCO","CLASIC","State","55","VA","Virginia"
"24765","MAJESCO","CLASIC","State","56","WA","Washington"
"24766","MAJESCO","CLASIC","State","57","WV","West Virginia"
"24767","MAJESCO","CLASIC","State","58","WI","Wisconsin"
"24768","MAJESCO","CLASIC","State","59","WY","Wyoming"
"24814","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","90","03N","New York"
"24815","MAJESCO","CLASIC","SalesOff_FIN_RSPN","82","82","Philadelphia"
"24816","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","82","03O","Philadelphia"
"24817","MAJESCO","CLASIC","SalesOff_FIN_RSPN","85","85","Phoenix"
"24818","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","85","03P","Phoenix"
"24819","MAJESCO","CLASIC","SalesOff_FIN_RSPN","83","83","Pittsburgh"
"24820","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","83","03Q","Pittsburgh"
"24821","MAJESCO","CLASIC","SalesOff_FIN_RSPN","84","84","Portland"
"24822","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","84","03R","Portland"
"24823","MAJESCO","CLASIC","SalesOff_FIN_RSPN","29","29","San Diego"
"24824","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","29","03S","San Diego"
"24825","MAJESCO","CLASIC","SalesOff_FIN_RSPN","89","89","San Francisco"
"24826","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","89","03T","San Francisco"
"24827","MAJESCO","CLASIC","SalesOff_FIN_RSPN","39","39","Seattle"
"24828","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","39","03U","Seattle"
"24829","MAJESCO","CLASIC","SalesOff_FIN_RSPN","45","45","St Louis"
"24830","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","45","03V","St Louis"
"24831","MAJESCO","CLASIC","SalesOff_FIN_RSPN","46","46","Syracuse"
"24832","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","46","03W","Syracuse"
"24833","MAJESCO","CLASIC","SalesOff_FIN_RSPN","86","86","Tampa"
"24834","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","86","03X","Tampa"
"24835","MAJESCO","CLASIC","SalesOff_FIN_RSPN","41","41","Washington DC"
"24836","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","41","03Y","Washington DC"
"24837","PAS","GSSP","dependentemploymentStatus","Active","true","dependentemploymentStatus"
"24838","PAS","GSSP","ContractType","CalCobra","true","ContractType"
"24839","PAS","GSSP","ContractType","FederalCobra","true","ContractType"
"24840","PAS","GSSP","PORTContractType","Ported","true","ContractType"
"24841","GSSP","MAJESCO","PROVISIONNAME_LTD4","LTD_GS","EMPLOYEEFUNDPRETAXDOLLARS","NULL"
"24842","GSSP","MAJESCO","PROVISIONNAME_CIAA1","CIAA_GS","FUNDINGSHARINGAMOUNT","NULL"
"24843","GSSP","MAJESCO","PROVISIONNAME_CIAA2","CIAA_GS","BROKERCOMMISSIONTYPE","NULL"
"24844","GSSP","MAJESCO","PROVISIONNAME_ACC1","ACC_GS","FUNDINGSHARINGAMOUNT","NULL"
"24845","GSSP","MAJESCO","PROVISIONNAME_ACC2","ACC_GS","BROKERCOMMISSIONTYPE","NULL"
"24846","MAJESCO","ICOMP","BrokerScale","211","Regular Scale",
"24847","GSSP","MAJESCO","PROVISIONNAME_ACC3","ACC_GS","BROKERCOMMISSOINRATE","NULL"
"24848","GSSP","MAJESCO","PROVISIONNAME_ACC4","ACC_GS","EMPLOYEEFUNDPRETAXDOLLARS","NULL"
"24849","GSSP","MAJESCO","PROVISIONNAME_ACC5","ACC_GS","TIERTYPE","NULL"
"24850","GSSP","MAJESCO","PROVISIONNAME_LGL1","LGL_GS","FUNDINGSHARINGAMOUNT","NULL"
"24851","GSSP","MAJESCO","PROVISIONNAME_VIS1","VIS_GS","FUNDINGSHARINGAMOUNT","NULL"
"24852","GSSP","MAJESCO","PROVISIONNAME_VIS2","VIS_GS","BROKERCOMMISSIONTYPE","NULL"
"24808","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","74","03K","Minneapolis"
"24809","MAJESCO","CLASIC","SalesOff_FIN_RSPN","44","44","Nashville"
"24810","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","44","03L","Nashville"
"24811","MAJESCO","CLASIC","SalesOff_FIN_RSPN","81","81","New Jersey"
"24812","MAJESCO","CLASIC","SalesOff_ADMN_UNIT","81","03M","New Jersey"
"24813","MAJESCO","CLASIC","SalesOff_FIN_RSPN","90","90","New York"
"25901","HWSI","MAJESCO","WorkStatus","Not Actively At Work","L","WorkStatus"
"24853","GSSP","MAJESCO","ProductCode_GS","Supplemental Life / AD&D","OPTL","Retrieving ProductName based on productcode"
"24854","GSSP","MAJESCO","PROVISIONNAME_VIS3","VIS_GS","BROKERCOMMISSOINRATE","NULL"
"24855","GSSP","MAJESCO","PROVISIONNAME_VIS4","VIS_GS","TIERTYPE","NULL"
"24856","PAS","GSSP","relationShipToMember","Parent","103","relationShipToMember"
"24857","GSSP","MAJESCO","PROVISIONNAME_DPPO1","DPPO_GS","FUNDINGSHARINGAMOUNT","NULL"
"24858","GSSP","MAJESCO","PROVISIONNAME_DPPO2","DPPO_GS","BROKERCOMMISSIONTYPE","NULL"
"24859","GSSP","MAJESCO","PROVISIONNAME_DPPO3","DPPO_GS","BROKERCOMMISSOINRATE","NULL"
"24860","GSSP","MAJESCO","PROVISIONNAME_DPPO4","DPPO_GS","TIERTYPE","NULL"
"24861","GSSP","MAJESCO","PROVISIONNAME_DHMO1","DHMO_GS","FUNDINGSHARINGAMOUNT","NULL"
"24862","GSSP","MAJESCO","PROVISIONNAME_DHMO2","DHMO_GS","BROKERCOMMISSIONTYPE","NULL"
"24863","GSSP","MAJESCO","PROVISIONNAME_DHMO3","DHMO_GS","BROKERCOMMISSOINRATE","NULL"
"24864","GSSP","MAJESCO","PROVISIONNAME_DHMO4","DHMO_GS","TIERTYPE","NULL"
"24865","GSSP","MAJESCO","PROVISIONNAME_CIAA3","CIAA_GS","BROKERCOMMISSOINRATE","NULL"
"24866","GSSP","MAJESCO","PROVISIONNAME_CIAA4","CIAA_GS","EMPLOYEEFUNDPRETAXDOLLARS","NULL"
"24867","GSSP","MAJESCO","PROVISIONNAME_CIAA5","CIAA_GS","TIERTYPE","NULL"
"24868","GSSP","MAJESCO","ProductCode_GS","Hospital Indemnity","HI","Retrieving ProductName based on productcode"
"24869","GSSP","MAJESCO","PROVISIONNAME_HI1","HI_GS","FUNDINGSHARINGAMOUNT","NULL"
"24870","GSSP","MAJESCO","PROVISIONNAME_STD1","STD_GS","FUNDINGSHARINGAMOUNT","NULL"
"24871","GSSP","MAJESCO","PROVISIONNAME_STD2","STD_GS","BROKERCOMMISSIONTYPE","NULL"
"24872","GSSP","MAJESCO","PROVISIONNAME_STD3","STD_GS","BROKERCOMMISSOINRATE","NULL"
"24873","GSSP","MAJESCO","PROVISIONNAME_STD4","STD_GS","EMPLOYEEFUNDPRETAXDOLLARS","NULL"
"24874","PAS","ETL","CountryName","853","Macao","NULL"
"24875","GSSP","MAJESCO","PROVISIONNAME_LTD1","LTD_GS","FUNDINGSHARINGAMOUNT","NULL"
"24876","GSSP","MAJESCO","PROVISIONNAME_LTD2","LTD_GS","BROKERCOMMISSIONTYPE","NULL"
"24877","GSSP","MAJESCO","PROVISIONNAME_LTD3","LTD_GS","BROKERCOMMISSOINRATE","NULL"
"24878","GSSP","MAJESCO","PROVISIONNAME_HI2","HI_GS","BROKERCOMMISSIONTYPE","NULL"
"24879","GSSP","MAJESCO","PROVISIONNAME_HI3","HI_GS","BROKERCOMMISSOINRATE","NULL"
"24880","GSSP","MAJESCO","PROVISIONNAME_HI4","HI_GS","EMPLOYEEFUNDPRETAXDOLLARS","NULL"
"24881","GSSP","MAJESCO","PROVISIONNAME_HI5","HI_GS","TIERTYPE","NULL"
"24882","GSSP","MAJESCO","PROVISIONNAME_ACC7","ACC_GS","GROSSUP","NULL"
"24883","GSSP","MAJESCO","PROVISIONNAME_ACC8","ACC_GS","EMPLOYEEFUNDPRETAXDOLLAR","NULL"
"24884","GSSP","MAJESCO","PROVISIONNAME_OPTL1","OPTL_GS","FUNDINGSHARINGAMOUNT","NULL"
"24885","GSSP","MAJESCO","PROVISIONNAME_OPTL2","OPTL_GS","BROKERCOMMISSIONTYPE","NULL"
"24886","GSSP","MAJESCO","PROVISIONNAME_OPTL3","OPTL_GS","BROKERCOMMISSOINRATE","NULL"
"24887","GSSP","MAJESCO","PROVISIONNAME_OPTL4","OPTL_GS","portability","NULL"
"24888","GSSP","MAJESCO","PROVISIONNAME_ACC9","ACC_GS","ALLOWPORTABILITY","NULL"
"24889","GSSP","MAJESCO","ProductCode_GS","Accident","ACC","Retrieving ProductName based on productcode"
"24890","GSSP","MAJESCO","PROVISIONNAME_ACC10","ACC_GS","RATEGUARANTEE","NULL"
"24891","GSSP","MAJESCO","PROVISIONNAME_LGL6","LGL_GS","RATEGUARANTEE","NULL"
"24892","GSSP","MAJESCO","PROVISIONNAME_VIS9","VIS_GS","RATEGUARANTEE","NULL"
"24893","GSSP","MAJESCO","PROVISIONNAME_DPPO9","DPPO_GS","RATEGUARANTEE","NULL"
"24894","GSSP","MAJESCO","PROVISIONNAME_DHMO9","DHMO_GS","RATEGUARANTEE","NULL"
"24895","GSSP","MAJESCO","PROVISIONNAME_STD9","STD_GS","RATEGUARANTEE","NULL"
"24896","GSSP","MAJESCO","PROVISIONNAME_LTD9","LTD_GS","RATEGUARANTEE","NULL"
"24897","GSSP","MAJESCO","PROVISIONNAME_CIAA10","CIAA_GS","RATEGUARANTEE","NULL"
"24898","GSSP","MAJESCO","PROVISIONNAME_HI10","HI_GS","RATEGUARANTEE","NULL"
"24899","GSSP","MAJESCO","PROVISIONNAME_BSCL9","BSCL_GS","RATEGUARANTEE","NULL"
"24900","GSSP","MAJESCO","PROVISIONNAME_OPTL9","OPTL_GS","RATEGUARANTEE","NULL"
"24901","GSSP","MAJESCO","PROVISIONNAME_BSCLD1","BSCLD_GS","FUNDINGSHARINGAMOUNT","NULL"
"24902","GSSP","MAJESCO","PROVISIONNAME_BSCLD2","BSCLD_GS","BROKERCOMMISSIONTYPE","NULL"
"24903","GSSP","MAJESCO","PROVISIONNAME_BSCLD3","BSCLD_GS","BROKERCOMMISSOINRATE","NULL"
"24904","GSSP","MAJESCO","PROVISIONNAME_BSCLD4","BSCLD_GS","portability","NULL"
"24905","GSSP","MAJESCO","PROVISIONNAME_OPTLD1","OPTLD_GS","FUNDINGSHARINGAMOUNT","NULL"
"27163","PAS","GSSP","Maint.BeneTrustType","ESTATE","105","NULL"
"24906","GSSP","MAJESCO","PROVISIONNAME_OPTLD2","OPTLD_GS","BROKERCOMMISSIONTYPE","NULL"
"24907","GSSP","MAJESCO","PROVISIONNAME_OPTLD3","OPTLD_GS","BROKERCOMMISSOINRATE","NULL"
"24908","GSSP","MAJESCO","PROVISIONNAME_OPTLD4","OPTLD_GS","portability","NULL"
"24909","GSSP","MAJESCO","PROVISIONNAME_BSCL1","BSCL_GS","FUNDINGSHARINGAMOUNT","NULL"
"24910","GSSP","MAJESCO","PROVISIONNAME_BSCL2","BSCL_GS","BROKERCOMMISSIONTYPE","NULL"
"24911","GSSP","MAJESCO","PROVISIONNAME_BSCL3","BSCL_GS","BROKERCOMMISSOINRATE","NULL"
"24912","GSSP","MAJESCO","PROVISIONNAME_BSCL4","BSCL_GS","portability","NULL"
"24913","GSSP","MAJESCO","PROVISIONNAME_BSCLD9","BSCLD_GS","RATEGUARANTEE","NULL"
"24914","GSSP","MAJESCO","PROVISIONNAME_OPTLD9","OPTLD_GS","RATEGUARANTEE","NULL"
"24915","GSSP","MAJESCO","PROVISIONNAME_OPTL7","OPTL_GS","EMPLOYEEFUNDPRETAXDOLLAR","NULL"
